 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
72	1.525	30.620	0.000	0.000	0.075	16.814	31.710	0.000	0.198	19.307	1.653	3.100	0.157	9.026	0.000	0.000	0.282	0.012	0.417	5.628	0.849	0.000	0.000	0.001	4.684E-4	3.926
73	1.547	21.665	0.000	0.000	2.990E-4	17.033	17.332	0.000	0.179	24.497	0.736	3.427	0.106	8.749	0.000	0.000	0.000	4.746E-5	0.000	4.143	0.280	0.000	0.000	0.000	0.005	3.692
74	1.568	12.978	0.000	0.000	0.000	14.301	5.585	0.000	0.132	26.946	0.251	3.821	0.028	6.220	0.000	0.000	0.000	0.000	0.000	3.046	0.075	0.000	0.000	0.000	0.028	1.806
75	1.589	6.974	0.000	0.000	0.000	9.149	0.323	0.000	0.001	25.617	0.076	4.153	0.002	2.995	0.000	0.000	0.000	0.000	0.000	2.143	0.000	0.000	0.000	0.000	0.091	0.100
76	1.610	0.000	0.000	0.000	0.000	4.214	0.000	0.000	0.000	22.492	0.028	4.307	0.000	0.928	0.000	0.000	0.000	0.000	0.000	1.383	0.000	0.000	0.000	0.000	0.126	0.000
77	1.631	0.000	0.000	0.000	0.000	1.644	0.000	0.000	0.000	20.072	0.018	2.592	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.606	0.000	0.000	0.000	0.000	0.076	0.000
78	1.653	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.000	19.588	0.021	1.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.270	0.000	0.000	0.000	0.000	0.028	0.000
79	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.105	0.022	0.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.017	0.000
80	1.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.589	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000
81	1.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.527	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.000	0.000	0.000	0.000	0.000	1.171E-5	0.000
82	1.737	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.964	0.000	0.000	0.000	0.000	0.000	0.000	0.000
83	1.759	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000
84	1.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000
85	1.801	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86	1.822	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000
87	1.843	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.479	0.000	0.000	0.000	0.000	0.000	0.000	0.000
88	1.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000
89	1.886	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.935	0.000	0.000	0.000	0.000	0.000	0.000	0.000
90	1.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000
91	1.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.975	0.000	0.000	0.000	0.000	0.000	0.000	0.000
92	1.949	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000
93	1.970	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000
94	1.992	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000
95	2.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.946	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.856	0.000	0.000	0.000	0.000	0.000	0.000	0.000
96	2.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000
